Name,Date,Last Observation (%),Last Observation (ML)
"Wivenhoe","01-01-2011","101.5","1182885.33"
"Wivenhoe","02-01-2011","101.1","1177644.53"
"Wivenhoe","03-01-2011","101.5","1182965.14"
"Wivenhoe","04-01-2011","101.9","1187871.12"
"Wivenhoe","05-01-2011","102.7","1196692.58"
"Wivenhoe","06-01-2011","104.4","1216494.21"
"Wivenhoe","07-01-2011","112.6","1311661.13"
"Wivenhoe","08-01-2011","115.8","1349560.32"
"Wivenhoe","09-01-2011","127.9","1490242.44"
"Wivenhoe","10-01-2011","168.6","1964439"
"Wivenhoe","11-01-2011","190.3","2217455.08"
"Wivenhoe","12-01-2011","188.7","2198600.26"
"Wivenhoe","13-01-2011","182.3","2123857.35"
"Wivenhoe","14-01-2011","166.5","1940366.74"
"Wivenhoe","15-01-2011","149.1","1737803.51"
"Wivenhoe","16-01-2011","130.5","1520469.95"
"Wivenhoe","17-01-2011","110.8","1291024.96"
"Wivenhoe","18-01-2011","100.7","1173531.23"
"Wivenhoe","19-01-2011","99.5","1159871.42"
"Wivenhoe","20-01-2011","100.1","1166290.39"
"Wivenhoe","21-01-2011","100.8","1174513.59"
"Wivenhoe","22-01-2011","101","1176445.69"
"Wivenhoe","23-01-2011","101.1","1177627.77"
"Wivenhoe","24-01-2011","101.1","1177575.33"
"Wivenhoe","25-01-2011","101.1","1178404.04"
"Wivenhoe","26-01-2011","100.5","1170621.37"
"Wivenhoe","27-01-2011","100.1","1166313.34"
"Wivenhoe","28-01-2011","99.7","1162016.02"
"Wivenhoe","29-01-2011","99.7","1162016.02"
"Wivenhoe","30-01-2011","99.5","1159871.42"
"Wivenhoe","31-01-2011","99.7","1162135.76"
"Wivenhoe","01-02-2011","100.5","1170621.37"
"Wivenhoe","02-02-2011","100.8","1174940.08"
"Wivenhoe","03-02-2011","101.2","1179269.43"
"Wivenhoe","04-02-2011","101.2","1179269.43"
"Wivenhoe","05-02-2011","100.8","1174940.08"
"Wivenhoe","06-02-2011","100.5","1170621.37"
"Wivenhoe","07-02-2011","100.5","1170621.37"
"Wivenhoe","08-02-2011","100.5","1170621.37"
"Wivenhoe","09-02-2011","100.4","1170446.12"
"Wivenhoe","10-02-2011","100.5","1170621.37"
"Wivenhoe","11-02-2011","100.3","1168466.02"
"Wivenhoe","12-02-2011","100.1","1166525.58"
"Wivenhoe","13-02-2011","100.3","1168466.02"
"Wivenhoe","14-02-2011","100.3","1168466.02"
"Wivenhoe","15-02-2011","100.6","1171835.41"
"Wivenhoe","16-02-2011","100.6","1172779.39"
"Wivenhoe","17-02-2011","100.6","1172779.39"
"Wivenhoe","18-02-2011","100.9","1175567.74"
"Wivenhoe","19-02-2011","100.9","1175526.68"
"Wivenhoe","20-02-2011","99.2","1155590.47"
"Wivenhoe","21-02-2011","97.4","1135231.78"
"Wivenhoe","22-02-2011","95","1107531.71"
"Wivenhoe","23-02-2011","93.1","1084403.28"
"Wivenhoe","24-02-2011","90.6","1056188.81"
"Wivenhoe","25-02-2011","88.1","1026964.86"
"Wivenhoe","26-02-2011","85.5","996146.72"
"Wivenhoe","27-02-2011","82.9","966285.29"
"Wivenhoe","28-02-2011","80.1","933492.85"
"Wivenhoe","01-03-2011","77.7","904897.05"
"Wivenhoe","02-03-2011","76.5","891149.26"
"Wivenhoe","03-03-2011","76.3","889419.45"
"Wivenhoe","04-03-2011","77.4","901608.32"
"Wivenhoe","05-03-2011","78.3","912122.52"
"Wivenhoe","06-03-2011","79.1","921211.71"
"Wivenhoe","07-03-2011","79.2","922758.16"
"Wivenhoe","08-03-2011","79","920978.7"
"Wivenhoe","09-03-2011","78.9","919201.98"
"Wivenhoe","10-03-2011","78.6","915656.76"
"Wivenhoe","11-03-2011","78.1","910359.53"
"Wivenhoe","12-03-2011","78","908599.29"
"Wivenhoe","13-03-2011","77.4","901586"
"Wivenhoe","14-03-2011","77.2","899839.61"
"Wivenhoe","15-03-2011","76.8","894617.11"
"Wivenhoe","16-03-2011","76.6","892881.81"
"Wivenhoe","17-03-2011","76.5","891149.26"
"Wivenhoe","18-03-2011","76.2","887692.37"
"Wivenhoe","19-03-2011","76.3","889421.94"
"Wivenhoe","20-03-2011","77.1","898096"
"Wivenhoe","21-03-2011","78","908599.29"
"Wivenhoe","22-03-2011","78.3","912136.58"
"Wivenhoe","23-03-2011","78.3","912122.52"
"Wivenhoe","24-03-2011","78.3","912363.35"
"Wivenhoe","25-03-2011","78.3","912122.52"
"Wivenhoe","26-03-2011","78.1","910359.53"
"Wivenhoe","27-03-2011","77.8","906841.82"
"Wivenhoe","28-03-2011","77.4","901586"
"Wivenhoe","29-03-2011","77","897690.54"
"Wivenhoe","30-03-2011","76.6","892881.81"
"Wivenhoe","31-03-2011","76","885968"
"Wivenhoe","01-04-2011","75.8","883500.85"
"Wivenhoe","02-04-2011","75.7","882633.4"
"Wivenhoe","03-04-2011","75.9","884297.5"
"Wivenhoe","04-04-2011","75.9","884258.75"
"Wivenhoe","05-04-2011","75.9","884286.35"
"Wivenhoe","06-04-2011","76.2","887692.37"
"Wivenhoe","07-04-2011","76.3","889497.06"
"Wivenhoe","08-04-2011","76.8","894639.94"
"Wivenhoe","09-04-2011","77.1","898096"
"Wivenhoe","10-04-2011","77.1","898096"
"Wivenhoe","11-04-2011","77.2","899855"
"Wivenhoe","12-04-2011","77.5","903404.27"
"Wivenhoe","13-04-2011","77.8","906841.82"
"Wivenhoe","14-04-2011","77.8","906853.01"
"Wivenhoe","15-04-2011","78","908599.29"
"Wivenhoe","16-04-2011","78.1","910359.53"
"Wivenhoe","17-04-2011","78.1","910359.53"
"Wivenhoe","18-04-2011","78.3","912122.52"
"Wivenhoe","19-04-2011","78.3","912122.52"
"Wivenhoe","20-04-2011","78.7","917428"
"Wivenhoe","21-04-2011","79.3","923734.28"
"Wivenhoe","22-04-2011","79.7","928329.26"
"Wivenhoe","23-04-2011","80.1","933508.15"
"Wivenhoe","24-04-2011","80.5","937697.88"
"Wivenhoe","25-04-2011","80.6","939549.79"
"Wivenhoe","26-04-2011","80.6","938897.73"
"Wivenhoe","27-04-2011","80.7","940704.96"
"Wivenhoe","28-04-2011","80.8","941530.01"
"Wivenhoe","29-04-2011","81","944041.42"
"Wivenhoe","30-04-2011","81.2","946143.55"
"Wivenhoe","01-05-2011","81.2","945598.47"
"Wivenhoe","02-05-2011","81.4","947975.04"
"Wivenhoe","03-05-2011","81.5","949783.36"
"Wivenhoe","04-05-2011","81.7","951607.49"
"Wivenhoe","05-05-2011","81.7","951607.49"
"Wivenhoe","06-05-2011","81.8","953434.43"
"Wivenhoe","07-05-2011","81.8","953434.43"
"Wivenhoe","08-05-2011","82.1","957096.75"
"Wivenhoe","09-05-2011","82.4","959641.87"
"Wivenhoe","10-05-2011","82.5","961150.56"
"Wivenhoe","11-05-2011","82.6","962394.44"
"Wivenhoe","12-05-2011","82.7","963785.17"
"Wivenhoe","13-05-2011","82.6","962611.27"
"Wivenhoe","14-05-2011","82.6","962611.27"
"Wivenhoe","15-05-2011","82.5","960781.51"
"Wivenhoe","16-05-2011","82.4","960270.98"
"Wivenhoe","17-05-2011","82.5","960770.29"
"Wivenhoe","18-05-2011","82.3","958927.6"
"Wivenhoe","19-05-2011","82.3","959302.27"
"Wivenhoe","20-05-2011","82.3","958932.12"
"Wivenhoe","21-05-2011","82.2","957737.35"
"Wivenhoe","22-05-2011","82.3","958932.12"
"Wivenhoe","23-05-2011","82.5","960770.29"
"Wivenhoe","24-05-2011","82.5","961274.41"
"Wivenhoe","25-05-2011","82.8","964465.81"
"Wivenhoe","26-05-2011","83.1","967952.8"
"Wivenhoe","27-05-2011","83.3","970064.51"
"Wivenhoe","28-05-2011","83.2","970003.23"
"Wivenhoe","29-05-2011","83.1","968223.41"
"Wivenhoe","30-05-2011","83.3","970623.79"
"Wivenhoe","31-05-2011","83.6","973754.16"
"Wivenhoe","01-06-2011","84","979306.57"
"Wivenhoe","02-06-2011","83.9","978068.54"
"Wivenhoe","03-06-2011","84","979306.57"
"Wivenhoe","04-06-2011","83.9","978050.54"
"Wivenhoe","05-06-2011","84","979306.57"
"Wivenhoe","06-06-2011","83.9","977443.23"
"Wivenhoe","07-06-2011","83.9","977694.98"
"Wivenhoe","08-06-2011","84","979377.82"
"Wivenhoe","09-06-2011","84.2","981175.74"
"Wivenhoe","10-06-2011","84","979306.57"
"Wivenhoe","11-06-2011","84","979306.57"
"Wivenhoe","12-06-2011","84.1","980205.58"
"Wivenhoe","13-06-2011","84","979306.57"
"Wivenhoe","14-06-2011","84.2","981175.74"
"Wivenhoe","15-06-2011","83.9","978217.33"
"Wivenhoe","16-06-2011","84","979306.57"
"Wivenhoe","17-06-2011","83.9","977440.24"
"Wivenhoe","18-06-2011","83.9","977794.51"
"Wivenhoe","19-06-2011","83.8","977031.16"
"Wivenhoe","20-06-2011","83.9","977440.24"
"Wivenhoe","21-06-2011","83.9","977440.24"
"Wivenhoe","22-06-2011","83.9","977626.59"
