GAS_DATE,BENCHMARK_PRICE
01/01/2017,7.18
02/01/2017,8
03/01/2017,8
04/01/2017,8
05/01/2017,8
06/01/2017,8
07/01/2017,8.55
08/01/2017,8.55
09/01/2017,8.55
10/01/2017,8.55
11/01/2017,9.65
12/01/2017,9.65
13/01/2017,9.5
14/01/2017,11.98
15/01/2017,11.98
16/01/2017,11.98
17/01/2017,12.91
18/01/2017,13.6
19/01/2017,13.38
20/01/2017,13.38
21/01/2017,13.38
22/01/2017,12
23/01/2017,12
24/01/2017,12
25/01/2017,12
26/01/2017,12
27/01/2017,12
28/01/2017,12
29/01/2017,12
30/01/2017,12
31/01/2017,12
01/02/2017,12.7
02/02/2017,14.25
03/02/2017,14.14
04/02/2017,14.14
05/02/2017,14.14
06/02/2017,14.14
07/02/2017,14.14
08/02/2017,14.14
09/02/2017,14.69
10/02/2017,16
11/02/2017,15
12/02/2017,15
13/02/2017,15
14/02/2017,14.5
15/02/2017,14
16/02/2017,12.5
17/02/2017,12.5
18/02/2017,12.5
19/02/2017,12.5
20/02/2017,12.5
21/02/2017,12
22/02/2017,12
23/02/2017,12
24/02/2017,10.35
25/02/2017,10.35
26/02/2017,10.35
27/02/2017,10
28/02/2017,8.41
01/03/2017,9
02/03/2017,9.05
03/03/2017,9.51
04/03/2017,9.51
05/03/2017,8.82
06/03/2017,8.82
07/03/2017,9.55
08/03/2017,9.26
09/03/2017,9.26
10/03/2017,7.95
11/03/2017,7.95
12/03/2017,7.95
13/03/2017,7.9
14/03/2017,7.9
15/03/2017,8.14
16/03/2017,7.6
17/03/2017,7.5
18/03/2017,7.5
19/03/2017,7.5
20/03/2017,7.5
21/03/2017,8.65
22/03/2017,7.3
23/03/2017,7.3
24/03/2017,9.19
25/03/2017,9.19
26/03/2017,8.5
27/03/2017,8.9
28/03/2017,8.9
29/03/2017,8.9
30/03/2017,8.9
31/03/2017,8.9
01/04/2017,8.9
02/04/2017,8.9
03/04/2017,8.9
04/04/2017,8.9
05/04/2017,8.9
06/04/2017,8.9
07/04/2017,8.9
08/04/2017,8.9
09/04/2017,8.9
10/04/2017,8.9
11/04/2017,8.9
12/04/2017,8.9
13/04/2017,8.9
14/04/2017,8.9
15/04/2017,8.9
16/04/2017,8.9
17/04/2017,8.9
18/04/2017,8.9
19/04/2017,8.9
20/04/2017,8.9
21/04/2017,8.9
22/04/2017,8.5
23/04/2017,8.5
24/04/2017,5
25/04/2017,8
26/04/2017,8
27/04/2017,8.5
28/04/2017,8.5
29/04/2017,8.5
30/04/2017,8.5
01/05/2017,8.25
02/05/2017,8.25
03/05/2017,8.25
04/05/2017,8.25
05/05/2017,8.25
06/05/2017,8.25
07/05/2017,8.25
08/05/2017,8.2
09/05/2017,8.45
10/05/2017,8.55
11/05/2017,8.55
12/05/2017,8.55
13/05/2017,8.55
14/05/2017,9
15/05/2017,9
16/05/2017,9
17/05/2017,9
18/05/2017,9
19/05/2017,9
20/05/2017,9
21/05/2017,9
22/05/2017,9
23/05/2017,9
24/05/2017,9
25/05/2017,9
26/05/2017,9
27/05/2017,9
28/05/2017,9
29/05/2017,7.5
30/05/2017,7.5
31/05/2017,7.5
01/06/2017,7.5
02/06/2017,7.5
03/06/2017,7.5
04/06/2017,7.5
05/06/2017,8
06/06/2017,8
07/06/2017,8
08/06/2017,8
09/06/2017,8
10/06/2017,8
11/06/2017,8
12/06/2017,8
13/06/2017,8
14/06/2017,8
15/06/2017,8
16/06/2017,8
17/06/2017,8
18/06/2017,7.63
19/06/2017,7.63
20/06/2017,7.63
21/06/2017,7.63
22/06/2017,7.63
23/06/2017,7.63
24/06/2017,7.63
25/06/2017,7.63
26/06/2017,7.63
27/06/2017,7.63
28/06/2017,7.63
29/06/2017,7.7
30/06/2017,7.7
01/07/2017,7.7
02/07/2017,7.7
03/07/2017,7.7
04/07/2017,7.7
05/07/2017,7.7
06/07/2017,7.7
07/07/2017,7.7
08/07/2017,7.7
09/07/2017,7.7
10/07/2017,7.7
11/07/2017,7.7
12/07/2017,7.7
13/07/2017,7.7
14/07/2017,7.7
15/07/2017,7.7
16/07/2017,7.7
17/07/2017,7.7
18/07/2017,7.7
19/07/2017,7.7
20/07/2017,7.7
21/07/2017,7.7
22/07/2017,7.5
23/07/2017,7.5
24/07/2017,7.5
25/07/2017,7.5
26/07/2017,7.5
27/07/2017,7.5
28/07/2017,7.5
29/07/2017,7.5
30/07/2017,7.5
31/07/2017,7.5
01/08/2017,7.5
02/08/2017,7.5
03/08/2017,7.5
04/08/2017,7.5
05/08/2017,7.5
06/08/2017,7.5
07/08/2017,7.5
08/08/2017,7.5
09/08/2017,7.5
10/08/2017,7.5
11/08/2017,7.5
12/08/2017,7.5
13/08/2017,7.5
14/08/2017,7.5
15/08/2017,7.5
16/08/2017,7.5
17/08/2017,7.5
18/08/2017,7.5
19/08/2017,7.5
