"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"France (FR)","01.01.2015 00:00 - 01.01.2015 01:00 (UTC)","193","n/e","n/e","2515","1577","274","n/e","n/e","n/e","11","","4229","3732","n/e","57945","n/e","n/e","0","281","n/e","1383"
"France (FR)","01.01.2015 01:00 - 01.01.2015 02:00 (UTC)","193","n/e","n/e","2452","1416","273","n/e","n/e","n/e","14","","4007","3046","n/e","57652","n/e","n/e","0","281","n/e","1464"
"France (FR)","01.01.2015 02:00 - 01.01.2015 03:00 (UTC)","193","n/e","n/e","2345","1132","274","n/e","n/e","n/e","326","","3787","1726","n/e","57583","n/e","n/e","0","282","n/e","1543"
"France (FR)","01.01.2015 03:00 - 01.01.2015 04:00 (UTC)","193","n/e","n/e","2344","770","276","n/e","n/e","n/e","1488","","3654","810","n/e","57551","n/e","n/e","0","281","n/e","1579"
"France (FR)","01.01.2015 04:00 - 01.01.2015 05:00 (UTC)","193","n/e","n/e","2340","861","277","n/e","n/e","n/e","2361","","3594","1090","n/e","57465","n/e","n/e","0","277","n/e","1482"
"France (FR)","01.01.2015 05:00 - 01.01.2015 06:00 (UTC)","193","n/e","n/e","2318","1067","277","n/e","n/e","n/e","2131","","3416","1269","n/e","57683","n/e","n/e","0","279","n/e","1387"
"France (FR)","01.01.2015 06:00 - 01.01.2015 07:00 (UTC)","194","n/e","n/e","2357","1083","276","n/e","n/e","n/e","2096","","3283","1086","n/e","57384","n/e","n/e","0","278","n/e","1583"
"France (FR)","01.01.2015 07:00 - 01.01.2015 08:00 (UTC)","198","n/e","n/e","2385","965","277","n/e","n/e","n/e","2534","","3472","916","n/e","56839","n/e","n/e","59","275","n/e","1814"
"France (FR)","01.01.2015 08:00 - 01.01.2015 09:00 (UTC)","205","n/e","n/e","2382","984","279","n/e","n/e","n/e","2741","","3681","803","n/e","57017","n/e","n/e","385","274","n/e","1936"
"France (FR)","01.01.2015 09:00 - 01.01.2015 10:00 (UTC)","205","n/e","n/e","2364","1091","278","n/e","n/e","n/e","2221","","3798","819","n/e","57458","n/e","n/e","1053","276","n/e","1927"
