"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Ireland (IE)","01.01.2022 00:00 - 01.01.2022 00:30 (UTC)","n/e","n/e","n/e","350","202","0","n/e","50","n/e","16","0","154","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2499"
"Ireland (IE)","01.01.2022 00:30 - 01.01.2022 01:00 (UTC)","n/e","n/e","n/e","351","201","0","n/e","50","n/e","16","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2511"
"Ireland (IE)","01.01.2022 01:00 - 01.01.2022 01:30 (UTC)","n/e","n/e","n/e","364","208","0","n/e","50","n/e","0","150","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2550"
"Ireland (IE)","01.01.2022 01:30 - 01.01.2022 02:00 (UTC)","n/e","n/e","n/e","352","204","0","n/e","50","n/e","0","303","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2574"
"Ireland (IE)","01.01.2022 02:00 - 01.01.2022 02:30 (UTC)","n/e","n/e","n/e","370","209","0","n/e","50","n/e","0","300","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2468"
"Ireland (IE)","01.01.2022 02:30 - 01.01.2022 03:00 (UTC)","n/e","n/e","n/e","352","201","0","n/e","50","n/e","0","300","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2384"
"Ireland (IE)","01.01.2022 03:00 - 01.01.2022 03:30 (UTC)","n/e","n/e","n/e","362","208","0","n/e","50","n/e","0","297","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2257"
"Ireland (IE)","01.01.2022 03:30 - 01.01.2022 04:00 (UTC)","n/e","n/e","n/e","350","202","0","n/e","50","n/e","0","297","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2116"
"Ireland (IE)","01.01.2022 04:00 - 01.01.2022 04:30 (UTC)","n/e","n/e","n/e","376","217","0","n/e","50","n/e","0","292","159","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1948"
"Ireland (IE)","01.01.2022 04:30 - 01.01.2022 05:00 (UTC)","n/e","n/e","n/e","352","204","0","n/e","50","n/e","0","292","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1982"
"Ireland (IE)","01.01.2022 05:00 - 01.01.2022 05:30 (UTC)","n/e","n/e","n/e","352","202","0","n/e","50","n/e","0","290","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1790"
"Ireland (IE)","01.01.2022 05:30 - 01.01.2022 06:00 (UTC)","n/e","n/e","n/e","352","202","0","n/e","50","n/e","0","217","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1726"
"Ireland (IE)","01.01.2022 06:00 - 01.01.2022 06:30 (UTC)","n/e","n/e","n/e","357","209","0","n/e","50","n/e","0","215","154","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1639"
"Ireland (IE)","01.01.2022 06:30 - 01.01.2022 07:00 (UTC)","n/e","n/e","n/e","360","207","0","n/e","50","n/e","0","215","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1617"
