"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IT-North","01.01.2019 00:00 - 01.01.2019 01:00 (UTC)","165","n/e","14","4871","136","0","n/e","n/e","n/e","","71","1139","47","n/e","n/e","2215","n/e","0","36","n/e","10"
"BZN|IT-North","01.01.2019 01:00 - 01.01.2019 02:00 (UTC)","167","n/e","13","4374","136","0","n/e","n/e","n/e","","73","1059","66","n/e","n/e","2000","n/e","0","31","n/e","14"
"BZN|IT-North","01.01.2019 02:00 - 01.01.2019 03:00 (UTC)","164","n/e","14","3329","128","0","n/e","n/e","n/e","","72","988","42","n/e","n/e","1653","n/e","0","36","n/e","14"
"BZN|IT-North","01.01.2019 03:00 - 01.01.2019 04:00 (UTC)","169","n/e","14","3101","122","0","n/e","n/e","n/e","","72","969","42","n/e","n/e","1612","n/e","0","33","n/e","16"
"BZN|IT-North","01.01.2019 04:00 - 01.01.2019 05:00 (UTC)","168","n/e","14","3367","122","0","n/e","n/e","n/e","","269","976","59","n/e","n/e","1782","n/e","0","29","n/e","17"
"BZN|IT-North","01.01.2019 05:00 - 01.01.2019 06:00 (UTC)","168","n/e","13","3327","122","0","n/e","n/e","n/e","","267","1000","51","n/e","n/e","1970","n/e","0","30","n/e","15"
"BZN|IT-North","01.01.2019 06:00 - 01.01.2019 07:00 (UTC)","167","n/e","13","3268","131","0","n/e","n/e","n/e","","75","1149","52","n/e","n/e","1693","n/e","0","32","n/e","13"
"BZN|IT-North","01.01.2019 07:00 - 01.01.2019 08:00 (UTC)","176","n/e","13","2573","124","0","n/e","n/e","n/e","","471","1357","177","n/e","n/e","1522","n/e","72","28","n/e","12"
"BZN|IT-North","01.01.2019 08:00 - 01.01.2019 09:00 (UTC)","172","n/e","13","2593","125","0","n/e","n/e","n/e","","933","1318","162","n/e","n/e","1424","n/e","353","29","n/e","7"
"BZN|IT-North","01.01.2019 09:00 - 01.01.2019 10:00 (UTC)","179","n/e","13","2650","125","0","n/e","n/e","n/e","","930","1326","162","n/e","n/e","1382","n/e","891","34","n/e","4"
"BZN|IT-North","01.01.2019 10:00 - 01.01.2019 11:00 (UTC)","182","n/e","13","2670","127","0","n/e","n/e","n/e","","321","1320","156","n/e","n/e","1451","n/e","1395","30","n/e","3"
"BZN|IT-North","01.01.2019 11:00 - 01.01.2019 12:00 (UTC)","186","n/e","14","3033","138","0","n/e","n/e","n/e","","262","1252","32","n/e","n/e","1713","n/e","1326","35","n/e","1"
"BZN|IT-North","01.01.2019 12:00 - 01.01.2019 13:00 (UTC)","186","n/e","15","3352","138","0","n/e","n/e","n/e","","143","1195","61","n/e","n/e","1657","n/e","882","35","n/e","1"
"BZN|IT-North","01.01.2019 13:00 - 01.01.2019 14:00 (UTC)","186","n/e","13","2971","131","0","n/e","n/e","n/e","","428","1161","33","n/e","n/e","1524","n/e","631","34","n/e","4"
"BZN|IT-North","01.01.2019 14:00 - 01.01.2019 15:00 (UTC)","184","n/e","14","3367","151","0","n/e","n/e","n/e","3","","1198","91","n/e","n/e","1793","n/e","289","31","n/e","3"
"BZN|IT-North","01.01.2019 15:00 - 01.01.2019 16:00 (UTC)","180","n/e","13","4354","156","0","n/e","n/e","n/e","6","","1663","296","n/e","n/e","1999","n/e","36","32","n/e","2"
"BZN|IT-North","01.01.2019 16:00 - 01.01.2019 17:00 (UTC)","180","n/e","13","4909","156","0","n/e","n/e","n/e","650","","2518","695","n/e","n/e","2072","n/e","0","31","n/e","2"
"BZN|IT-North","01.01.2019 17:00 - 01.01.2019 18:00 (UTC)","180","n/e","14","5034","155","0","n/e","n/e","n/e","651","","2967","471","n/e","n/e","2086","n/e","0","32","n/e","5"
"BZN|IT-North","01.01.2019 18:00 - 01.01.2019 19:00 (UTC)","179","n/e","13","5450","156","0","n/e","n/e","n/e","861","","3206","646","n/e","n/e","2132","n/e","0","34","n/e","5"
"BZN|IT-North","01.01.2019 19:00 - 01.01.2019 20:00 (UTC)","181","n/e","14","5169","156","0","n/e","n/e","n/e","863","","2161","850","n/e","n/e","1996","n/e","0","34","n/e","3"
"BZN|IT-North","01.01.2019 20:00 - 01.01.2019 21:00 (UTC)","182","n/e","14","5028","157","0","n/e","n/e","n/e","860","","1705","483","n/e","n/e","1981","n/e","0","34","n/e","3"
"BZN|IT-North","01.01.2019 21:00 - 01.01.2019 22:00 (UTC)","175","n/e","13","5074","147","0","n/e","n/e","n/e","3","","1423","320","n/e","n/e","1874","n/e","0","32","n/e","4"
"BZN|IT-North","01.01.2019 22:00 - 01.01.2019 23:00 (UTC)","174","n/e","13","4509","122","0","n/e","n/e","n/e","","2","1204","61","n/e","n/e","1789","n/e","0","32","n/e","6"
"BZN|IT-North","01.01.2019 23:00 - 02.01.2019 00:00 (UTC)","182","n/e","13","3483","131","0","n/e","n/e","n/e","","29","1084","40","n/e","n/e","1977","n/e","0","35","n/e","6"
"BZN|IT-North","02.01.2019 00:00 - 02.01.2019 01:00 (UTC)","182","n/e","12","2827","124","0","n/e","n/e","n/e","","244","999","43","n/e","n/e","1848","n/e","0","33","n/e","4"
"BZN|IT-North","02.01.2019 01:00 - 02.01.2019 02:00 (UTC)","181","n/e","11","2531","124","0","n/e","n/e","n/e","","653","947","43","n/e","n/e","1819","n/e","0","36","n/e","2"
"BZN|IT-North","02.01.2019 02:00 - 02.01.2019 03:00 (UTC)","183","n/e","12","2570","124","0","n/e","n/e","n/e","","1297","934","43","n/e","n/e","1698","n/e","0","32","n/e","1"
"BZN|IT-North","02.01.2019 03:00 - 02.01.2019 04:00 (UTC)","181","n/e","13","2794","125","0","n/e","n/e","n/e","","1642","953","43","n/e","n/e","1701","n/e","0","31","n/e","1"
"BZN|IT-North","02.01.2019 04:00 - 02.01.2019 05:00 (UTC)","179","n/e","13","3468","124","0","n/e","n/e","n/e","","1687","953","60","n/e","n/e","1851","n/e","0","32","n/e","2"
"BZN|IT-North","02.01.2019 05:00 - 02.01.2019 06:00 (UTC)","184","n/e","12","4544","132","0","n/e","n/e","n/e","","647","976","61","n/e","n/e","2199","n/e","0","33","n/e","6"
"BZN|IT-North","02.01.2019 06:00 - 02.01.2019 07:00 (UTC)","181","n/e","11","5599","152","0","n/e","n/e","n/e","","11","1270","441","n/e","n/e","2516","n/e","0","32","n/e","7"
"BZN|IT-North","02.01.2019 07:00 - 02.01.2019 08:00 (UTC)","181","n/e","11","6481","156","0","n/e","n/e","n/e","1610","","1938","674","n/e","n/e","2538","n/e","39","32","n/e","12"
"BZN|IT-North","02.01.2019 08:00 - 02.01.2019 09:00 (UTC)","182","n/e","12","7263","156","0","n/e","n/e","n/e","1519","","1961","614","n/e","n/e","2547","n/e","283","32","n/e","12"
