	Biomasse	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Charbon	Charbon	Charbon	Charbon	Charbon	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique fil de l'eau / éclusée	Hydraulique fil de l'eau / éclusée	Hydraulique fil de l'eau / éclusée	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Autre
Date	PROVENCE 4 BIOMASSE	AMFARD14	AMFARD15	BLENOD 5	BOUCHAIN 7	COMBIGOLFE CCG	CYCOFOS PL1	Croix-de-Metz	DK6-TG1	DK6-TG2	DK6-TV1	DK6-TV2	EMILE HUCHET 7	EMILE HUCHET 8	FR-GA-MORANT1	GENNEVILLIERS 1	MARTIGUES PONTEAU 5	MARTIGUES PONTEAU 6	Pont-sur-Sambre	SPEM CCG	CORDEMAIS 4	CORDEMAIS 5	EMILE HUCHET 6	HAVRE 4	PROVENCE 5	ARRIGHI 1	ARRIGHI 2	BRENNILIS 1	BRENNILIS 2	BRENNILIS 3	DIRINON 1	DIRINON 2	MONTEREAU 5	MONTEREAU 6	VAIRES 1	VAIRES 2	VAIRES 3	CHEYLAS 1	CHEYLAS 2	COCHE 5	GRAND MAISON 1	GRAND MAISON 10	GRAND MAISON 11	GRAND MAISON 12	GRAND MAISON 2	GRAND MAISON 3	GRAND MAISON 4	GRAND MAISON 5	GRAND MAISON 6	GRAND MAISON 7	GRAND MAISON 8	GRAND MAISON 9	MONTEZIC 1	MONTEZIC 2	MONTEZIC 3	MONTEZIC 4	REVIN 1	REVIN 2	REVIN 3	REVIN 4	SUPER BISSORTE 1	SUPER BISSORTE 2	SUPER BISSORTE 3	SUPER BISSORTE 4	SUPER BISSORTE 5	CHASTANG 2	CHASTANG 3	FR_LA-STPIERRE-G	AIGLE 6	BATHIE 1	BATHIE 4	BATHIE 5	BATHIE 6	BORT 1	BORT 2	BROMMAT 7	COMBE D'AVRIEUX 1	POUGET 4	SISTERON 1	SISTERON 2	VILLARODIN 1	VILLARODIN 2	BELLEVILLE 1	BELLEVILLE 2	BLAYAIS 1	BLAYAIS 2	BLAYAIS 3	BLAYAIS 4	BUGEY 2	BUGEY 3	BUGEY 4	BUGEY 5	CATTENOM 1	CATTENOM 2	CATTENOM 3	CATTENOM 4	CHINON 1	CHINON 2	CHINON 3	CHINON 4	CHOOZ 1	CHOOZ 2	CIVAUX 1	CIVAUX 2	CRUAS 1	CRUAS 2	CRUAS 3	CRUAS 4	DAMPIERRE 1	DAMPIERRE 2	DAMPIERRE 3	DAMPIERRE 4	FESSENHEIM 1	FESSENHEIM 2	FLAMANVILLE 1	FLAMANVILLE 2	GOLFECH 1	GOLFECH 2	GRAVELINES 1	GRAVELINES 2	GRAVELINES 3	GRAVELINES 4	GRAVELINES 5	GRAVELINES 6	NOGENT 1	NOGENT 2	PALUEL 1	PALUEL 2	PALUEL 3	PALUEL 4	PENLY 1	PENLY 2	ST ALBAN 1	ST ALBAN 2	ST LAURENT 1	ST LAURENT 2	TRICASTIN 1	TRICASTIN 2	TRICASTIN 3	TRICASTIN 4	CYCOFOS PL2
01/07/2019 00:00-01:00	0	0	115	246.5	-5	0	0	0	0	-1	105	117.5	319	318	1	*	0	249	257.5	0	0	-6	0	-5	0	0	0	0	0	0	-1	1	0	0	0	0	0	168	0	*	30	0	28.5	0	0	0	29	0	0	37.5	27.5	24.5	0	-1.5	-10	38	*	83	*	-1.5	0	0	0	72.5	0	0	0	0	0	*	27.5	27	48	0	26.5	106	123	*	0	117	0	0	1162.5	*	825	923	911	889.5	-35.5	189.5	822	840	-7	1209	1141	1145.5	0	881	880.5	879.5	-54.5	0	1454.5	1454.5	878	797.5	863	-25	0	879.5	888	-29	832	0	1289.5	-3	-45	1099.5	867	895	850.5	-30	798	-35	-7.5	1137	-42.5	1249	1109.5	-14	1285.5	1291	1266	1246	-4	850	0	904	-29.5	839.5	0
01/07/2019 01:00-02:00	0	0	115	257	-1	0	0	0	0	-1	109	118	315.5	314.5	1	*	0	273.5	-4.5	0	0	-6	0	-5	0	0	0	0	0	0	-0.5	1	0	0	0	0	0	109	0	*	-96.5	0	0	0	0	0	0	0	0	-153.5	0	0	0	-212	-208.5	0	*	-141.5	*	-18.5	0	0	0	0	0	0	0	0	0	*	0	0	28.5	0	0	0	123.5	*	0	117	0	0	1161	*	825	830.5	911	890	-35	275	826.5	845	-8.5	1214	1141	1131	0	882.5	879.5	880	-55	0	1458.5	1460.5	880.5	780	863	-21.5	0	880	889.5	-29	831.5	0	1289	-3.5	-45	1075.5	867	895	851	-30	798	-28	-7.5	1112	-42	1248	1085	-15.5	1264.5	1291.5	1266	1253	-4	857.5	0	904	-30	834	0
01/07/2019 02:00-03:00	0	0	115	328	0	0	0	0	0	-1	110	118	129.5	129.5	1	*	0	295.5	-4	0	0	-5.5	0	-5	0	0	0	0	0	0	-0.5	1	0	0	0	0	0	0	0	*	-162	0	0	0	0	0	-72	0	0	-163	0	0	0	-211.5	-208	0	*	-172	*	-179.5	0	0	0	0	0	0	0	0	0	*	0	0	0	0	0	0	122.5	*	0	116.5	0	0	1165.5	*	825	857	911	890	-35	318	825	842	-8	1214	1141.5	1163.5	0	884	881	882	-49	0	1463	1468	882	816	866.5	-10	0	881	890.5	-29	832	0	1289	-3	-45	1137.5	867	894	850.5	-30	798	-28	-7.5	1168	-42	1247.5	1139	-15	1228	1267.5	1267	1253	-3	805.5	0	904.5	-30	840.5	0
01/07/2019 03:00-04:00	0	0	115	318.5	0	0	0	0	0	-1	110.5	118	0	0	1	*	0	281	-2	0	0	-6	0	-5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	*	-162	0	0	0	0	0	-162	0	0	-162.5	-72.5	0	0	-211	-208	0	*	-171.5	*	-178.5	0	0	0	0	0	0	0	0	0	*	0	0	0	0	0	0	123	*	0	106.5	0	0	1172.5	*	825	865	911	890	-35	318	824.5	842.5	-7.5	1214	1142.5	1169.5	0	884	882	882	274.5	0	1465.5	1471.5	884.5	825	867.5	-10	0	882	892.5	-28.5	832	-0.5	1290.5	-3	-44.5	1150.5	865.5	893.5	849	-30	796.5	-27.5	-7.5	1179	-43	1246.5	1149.5	-15	1220	1238	1267	1253	-3	823.5	0	908.5	-30	334.5	0
01/07/2019 04:00-05:00	0	0	115	243.5	0	0	-2.5	0	0	-1	110	118	0	0	1	*	0	242	-2	2	0	-6	0	-5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	*	-162	0	0	0	0	0	-162	0	0	-163	-161	0	0	-211.5	-208	0	*	-170.5	*	-178	0	0	0	0	0	0	0	0	0	*	0	0	0	0	0	0	122.5	*	0	105.5	0	0	1145.5	*	825	834.5	911	890	-34	318.5	827.5	843	-9	1218.5	1147	1144.5	0	882.5	878.5	879.5	716	0	1469.5	1472.5	885	794	869.5	-10	0	883	894	-29	832	-1	1292	-3	-35.5	1106.5	864.5	892.5	848	-30	795	-27.5	-7.5	1136.5	-42.5	1244.5	1105	-15	1183.5	1284	1266.5	1253	-3	860	0	909	-30	227	0
01/07/2019 05:00-06:00	0	0	115	245	37	0	17.5	0	13.5	-1	98	117	0	0	1	*	0	243	-5	69.5	0	-6	0	-5	0	0	0	0	0	0	0.5	1	0	0	0	0	0	91.5	0	*	-162	0	0	0	0	0	-162	0	0	-163	-161	0	0	-65	-81.5	0	*	-170	*	-107	0	0	0	0	0	0	0	0	0	*	16.5	0	16	0	46	89	122.5	*	0	106.5	0	0	1146	*	825	841.5	912.5	890	-34	325.5	828	841.5	-9	1223	1151	1144	0	884	881.5	882.5	1125	0	1469.5	1472	886.5	797.5	870	-10	0	883.5	895	-28.5	832	-0.5	1292	-3.5	610	1116.5	863	891	846.5	-30	794	-28	-7.5	1151	-30	1244	1108.5	-15	1187	1290	1267	1253.5	-3	862.5	0	908	152.5	519.5	-1
01/07/2019 06:00-07:00	0	0	115	227.5	196.5	0	157	0	89	-1	119.5	117.5	-0.5	94	1	*	0	182	150	249.5	0	-5.5	0	-5	0	0	0	0	0	0	0.5	1	0	0	0	0	0	146	0	*	-42	0	0	0	0	0	-56.5	0	0	-55	-41	0	0	-149.5	-149	0	*	-27.5	*	-1	0	1	0	4.5	0	0	0	0	0	*	3.5	0	23	0	18.5	19.5	123	*	0	94.5	0	0	1117	*	826	858.5	913	890	-34	326	829	842.5	-9	1228	1155.5	1200	0	886.5	882	882	1445.5	0	1470.5	1473.5	887	767	870.5	-10	0	884.5	895	-29	832	-1	1291.5	-4	1176	1076	862.5	891	846	-30	793	-28	-7	1109	-27	1245	1063.5	-16	1154	1292	1267.5	1253	-3	758.5	0	908	210	821	-1
01/07/2019 07:00-08:00	0	0	115	329.5	362.5	0	307.5	0	146.5	-1	177	99	273	359.5	1	*	0	272.5	385.5	344.5	0	-5.5	0	-4.5	0	0	0	0	0	0	1	1	0	0	0	0	0	160.5	0	*	0	0	0	0	0	0	69	0	0	126.5	0	61	0	100	100	99	*	135.5	*	-1	0	152	0	151	0	0	0	0	0	*	43	0	40.5	0	0	162.5	123.5	*	0	94	0	0	1244.5	*	826	928	913	890	-34	326	830.5	843	-9	1230	1157	1216	0	885.5	883.5	883	1476.5	0	1471	1475.5	885.5	784	870.5	-10	0	884.5	896	-29	828	-1	1292	-3	1171	1109	862.5	879.5	846	-30.5	793	-28	-6.5	1141.5	-27	1248.5	1097	-15.5	1179.5	1294	1267	1254	-3	772	0	908	447.5	885	-1
01/07/2019 08:00-09:00	0	0	115	356.5	551.5	0	376	0	156	-1	159	71.5	366	364.5	1	*	0	347.5	390.5	427.5	0	-6	0	-4.5	0	0	0	0	0	0	1	1	0	0	0	0	0	183.5	0	*	96	0	0	0	0	0	135.5	0	0	135.5	93.5	98.5	0	196	197	193.5	*	162.5	*	78	0	152	0	151	0	0	0	0	0	*	63.5	0	61	0	2.5	184.5	123	*	0	58.5	0	61	1263.5	*	825	928	912	890	-34	326	829.5	842	-8.5	1230	1157	1181	0	814	882	882	1477.5	0	1474	1476.5	884	783.5	869	-10	0	886.5	897	-29	828	-0.5	1292	-2	1192.5	1248.5	863.5	861.5	846.5	-32	793.5	-28	-6.5	1222	-27	1250	1146.5	-14	1276.5	1295.5	1267.5	1253.5	-3	851	0	908	877.5	897	-0.5
