	Biomasse	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Gaz	Charbon	Charbon	Charbon	Charbon	Charbon	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Fioul	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique STEP	Hydraulique fil de l'eau / éclusée	Hydraulique fil de l'eau / éclusée	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Hydraulique lacs	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Nucléaire	Autre
Date	PROVENCE 4 BIOMASSE	AMFARD14	AMFARD15	BLENOD 5	BOUCHAIN 7	COMBIGOLFE CCG	CYCOFOS PL1	Croix-de-Metz	DK6-TG1	DK6-TG2	DK6-TV1	DK6-TV2	EMILE HUCHET 7	EMILE HUCHET 8	FR-GA-MORANT1	GENNEVILLIERS 1	MARTIGUES PONTEAU 5	MARTIGUES PONTEAU 6	Pont-sur-Sambre	SPEM CCG	Saint_Avold_7	Saint_Avold_8	CORDEMAIS 4	CORDEMAIS 5	EMILE HUCHET 6	HAVRE 4	PROVENCE 5	ARRIGHI 1	ARRIGHI 2	BRENNILIS 1	BRENNILIS 2	BRENNILIS 3	DIRINON 1	DIRINON 2	MONTEREAU 5	MONTEREAU 6	VAIRES 1	VAIRES 2	VAIRES 3	CHEYLAS 1	CHEYLAS 2	COCHE 5	GRAND MAISON 1	GRAND MAISON 10	GRAND MAISON 11	GRAND MAISON 12	GRAND MAISON 2	GRAND MAISON 3	GRAND MAISON 4	GRAND MAISON 5	GRAND MAISON 6	GRAND MAISON 7	GRAND MAISON 8	GRAND MAISON 9	MONTEZIC 1	MONTEZIC 2	MONTEZIC 3	MONTEZIC 4	REVIN 1	REVIN 2	REVIN 3	REVIN 4	SUPER BISSORTE 1	SUPER BISSORTE 2	SUPER BISSORTE 3	SUPER BISSORTE 4	SUPER BISSORTE 5	CHASTANG 2	CHASTANG 3	AIGLE 6	BATHIE 1	BATHIE 2	BATHIE 3	BATHIE 4	BATHIE 5	BATHIE 6	BORT 1	BORT 2	BROMMAT 7	COMBE D'AVRIEUX 1	POUGET 4	SISTERON 1	SISTERON 2	VILLARODIN 1	VILLARODIN 2	BELLEVILLE 1	BELLEVILLE 2	BLAYAIS 1	BLAYAIS 2	BLAYAIS 3	BLAYAIS 4	BUGEY 2	BUGEY 3	BUGEY 4	BUGEY 5	CATTENOM 1	CATTENOM 2	CATTENOM 3	CATTENOM 4	CHINON 1	CHINON 2	CHINON 3	CHINON 4	CHOOZ 1	CHOOZ 2	CIVAUX 1	CIVAUX 2	CRUAS 1	CRUAS 2	CRUAS 3	CRUAS 4	DAMPIERRE 1	DAMPIERRE 2	DAMPIERRE 3	DAMPIERRE 4	FESSENHEIM 1	FESSENHEIM 2	FLAMANVILLE 1	FLAMANVILLE 2	GOLFECH 1	GOLFECH 2	GRAVELINES 1	GRAVELINES 2	GRAVELINES 3	GRAVELINES 4	GRAVELINES 5	GRAVELINES 6	NOGENT 1	NOGENT 2	PALUEL 1	PALUEL 2	PALUEL 3	PALUEL 4	PENLY 1	PENLY 2	ST ALBAN 1	ST ALBAN 2	ST LAURENT 1	ST LAURENT 2	TRICASTIN 1	TRICASTIN 2	TRICASTIN 3	TRICASTIN 4	CYCOFOS PL2
01/01/2022 00:00-01:00	0	0	100.5	43	0	0	0	0	0	-1	118	122.5	0	0	1	0	0	0	-2	0	*	*	0	-13	0	2	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	182	187	121	0	4	2	2	0	-35	0	0	-33.5	0	-32.5	4.5	102	0	93.5	0	89	163	89.5	0	0	0	0	0	0	87	0	113.5	0	*	*	0	0	0	0	1	177	*	0	57	0	74.5	77	1263	1285	269.5	862	952	899	854.5	909	876	0	1263	-40.5	1290	1222	-35	863	439.5	806.5	0	-21	0	0	793.5	-28	857	851	-5	437	901	889	-0.5	-1	1295	1296	1264	1300	-2	910	911.5	0	618.5	0	1258	1224.5	1254	1181	1289	1298.5	-3	1322	645.5	1304.5	-29	881.5	896	928	-26	-28	1
01/01/2022 01:00-02:00	0	0	101	-3.5	0	0	0	0	0	-1	117.5	122	0	0	1	0	0	0	-2	0	*	*	0	-13	0	2	0	0	0	0	0	0	-1	-0.5	-1	0	0	0	0	0	0	211.5	0	146	137.5	145	0	0	0	107.5	0	0	0	137	-88	0	-74	0	0	182	0	0	0	0	0	0	0	85.5	80	111	0	*	*	0	0	0	17	17	5.5	*	0	56.5	0	0	0	1261.5	1265.5	205	215.5	957	898.5	869	909	876.5	0	1264	-40.5	1292.5	1223	-35	882	422	808	0	-21	0	0	784.5	-28	877	849.5	-5	295.5	901	888	0	-1	1295	1296	1263.5	1300	-2	909	911	0	581	0	1261	1257.5	1255	1180.5	1288	1298	-3	1322	431	1304.5	-29	881.5	896	935	-26	-28	1
01/01/2022 02:00-03:00	0	0	101	-3	0	0	0	0	0	-1	115.5	119	0	0	1	0	0	0	-2	0	*	*	0	-12	0	2	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	185.5	0	48	44.5	46	0	0	0	41	0	0	0	46	-218	-201	-215	0	0	90	0	0	0	0	0	0	0	83.5	40.5	105	0	*	*	0	0	0	91	90	1	*	0	55.5	0	0	0	1260.5	1213	194	-20	926	898	853.5	909	877.5	0	1264.5	-40.5	1292.5	1223.5	-35	858	405.5	808	0	-21	0	0	770	-28	854.5	846	-5	271	901	888.5	-1	-1	1296	1297	1264.5	1301.5	-2	908	910.5	0	554.5	0	1260.5	1220	1244.5	1180	1286.5	1225.5	-3	1322	393.5	1304	-29	882.5	896	937	-26	-28	1
01/01/2022 03:00-04:00	0	0	101	-3	0	0	0	0	0	-1	117.5	121.5	0	0	1	0	0	0	-2	0	*	*	0	-13	0	2	0	0	0	0	0	0	0.5	1	-1	0	0	0	0	-188	0	141.5	0	0	0	0	-108	-108.5	0	0	-106	-108	0	0	-217	-217	-214	-193	-146	-148	-61.5	0	5	-83	-1.5	1.5	0	80	0	1	0	*	*	0	0	0	22.5	22	1	*	0	2.5	0	0	0	1260.5	1176	194	-31	880.5	898	835	909	878.5	0	1265	-40.5	1294.5	1224.5	-35	499	378.5	808	0	-21	0	0	751	-28	831.5	846.5	-5	244.5	902	887.5	-0.5	-1	1296	1297	1266.5	1303.5	-2	907.5	909.5	0	527	0	1261.5	1182.5	990.5	1179.5	1289	1184.5	-3	1287	355.5	1304	-29.5	883	896	902	-26	-28	1
01/01/2022 04:00-05:00	0	0	101	-3	0	0	0	0	0	-1	117.5	123.5	0	0	1	0	0	-0.5	-2	0	*	*	0	-12	0	2	0	0	0	0	0	0	1	1	-1	0	0	0	0	-233	0	2.5	0	0	0	0	-162	-162	-92	-92	-160.5	-162	0	0	-216.5	-216.5	-213	-211	-173	-173.5	-174.5	0	-5	-164.5	-89.5	0	2.5	82	0	0	0	*	*	0	0	0	0	0	1	*	0	0	0	0	0	1264	1271	194.5	-31	894	896.5	860	909.5	880	0	1268.5	-40.5	1294.5	1225.5	-35	471	392.5	809	0	-21	0	0	789	-28.5	842.5	849.5	-5	258.5	901	884.5	-0.5	-1	1296.5	1297	1266.5	1303.5	-2	907	909	0	541.5	0	1263	1068.5	393	1180	1287.5	1272	-3	1251.5	376.5	1304	-29	882	896	880	-26	-29	1
01/01/2022 05:00-06:00	0	0	101	-3	0	0	-0.5	0	0	-1	116	120	0	0	1	0	0	0	-2	0	*	*	0	-13	0	2	0	0	0	0	0	0	0.5	1	-1	0	0	0	0	-232	0	1	-30	0	0	0	-161.5	-162	-161	-162	-160	-162	-30	0	-216	-216.5	-213	-211	-172	-172	-173.5	0	-164	-163.5	-162	0	0	84.5	0	0	0	*	*	0	0	0	0	0	1	*	0	0	0	0	0	1263	1286	193.5	-31	908.5	895.5	869	910	881	0	1267.5	-41	1295	1226	-35	485	406	810.5	0	-21	0	0	891	-28.5	853	851.5	-5	476	901	884	-1	-1	1296	1297	1266	1303.5	-2	906	908	0	555.5	0	1265	911.5	408.5	1180	1289	1296	-3	1316.5	399.5	1304	-29.5	882	896	894	-26	-28	1
01/01/2022 06:00-07:00	0	0	101	-3	0	0	-0.5	0	0	-1	115.5	119.5	0	0	1	0	0	0	-2.5	0	*	*	0	-12	0	2	0	0	0	0	0	0	1	1	-1	0	0	0	0	-232	0	0	-161	0	0	0	-160	-161	-161	-162	-160	-161.5	-160	0	-216	-216	-213	-210	-170.5	-171	-172	0	-163.5	-164	-162	0	0	85.5	0	0	0	*	*	0	0	0	0	0	1	*	0	58.5	0	0	0	1265	1289	194	-31	919	895.5	862	910	881.5	0	1266.5	-40.5	1296.5	1226.5	-35	510.5	417.5	810.5	0	-21	0	0	892	-29	862	851	-5	873.5	901	887	-1	-1	1296.5	1298	1268.5	1307	-2	906.5	908.5	0	566	0	1267.5	919.5	429	1181.5	1288	1297	-3	1321	415	1306.5	-29.5	882.5	896	904	-26	-28.5	1
01/01/2022 07:00-08:00	0	0	101	-3	0	0	0	0	0	-1	116	121	0	0	1	0	0	0	-2	0	*	*	0	-13	0	2	0	0	0	0	0	0	0	1	-1	0	0	0	0	-1.5	0	0	-160	0	0	0	-160	-161	-161	-162	-160	-161.5	-160	0	-216	-216.5	-213	-106	-169.5	-169.5	-170.5	0	-162.5	-155.5	-162	0	0	81.5	0	0	0	*	*	0	0	0	0	0	1	*	0	69	0	0	0	1266	1260.5	191.5	-31	884.5	896	836.5	910.5	882.5	0	1267	-41	1296.5	1226.5	-35	757.5	537.5	809.5	0	-21	0	0	842	-29	833	851.5	-5	845.5	901	885.5	-0.5	-1	1296	1298	1269.5	1308.5	-2	907	909	0	578.5	0	1269.5	1139.5	379	1181.5	1287	1297.5	-3	1321	414.5	1308.5	-29.5	883	896	870.5	-26	-28.5	1
01/01/2022 08:00-09:00	0	0	101	-2.5	0	0	0	0	0	-1	117	123	0	0	1	0	0	0	-2	0	*	*	0	-13	0	2	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	-85	0	-160	0	0	0	-160.5	-161	-161	-162	-160	-161.5	-160	0	-216	-216	-212.5	-150.5	-167.5	-167.5	-169	0	0	0	-162.5	0	0	75.5	0	0	0	*	*	0	0	0	0	0	1	*	0	67	0	0	0	1264	1256	189	-31	847	895.5	833	911	883	0	1269.5	-40.5	1297	1226.5	-35	793.5	800.5	810	0	-21	0	0	838	-28.5	806	851.5	-5	806.5	901	885	-0.5	-1	1296	1297.5	1271	1310	-2	908.5	910.5	0	793	0	1262	1128.5	957.5	1172	1289	1298	-3	1321	1181.5	1310.5	-30	884	896	831.5	-26	-28.5	1
